Post_ID,Platform,Content_Type,Content_Category,Post_Type,Region,Longitude,Latitude,Engagement,Views,Likes,Shares,Comments,Engagement_Rate,Impressions,Video_Views,Live_Stream_Views,Clicks,Click_Through_Rate,Main_Hashtag,Post_Published_At,Post_Date,Post_Hour,Engagement_Level
Post_1,TikTok,Organic,Product Promotion,Video,UK,-3.436,55.3781,"  54,510 ","  599,342 ","  125,741 ","  35,920 ","  15,727 ",0.09,"  677,975 ","  465,645 ",  -   ,"  16,813 ",2.48%,#FeatureHighlight,2024-03-14 15:42:00,3/14/2024,15,Low
Post_2,Instagram,Organic,Product Promotion,Video,India,78.9629,20.5937,"  259,440 ","  1,896,301 ","  206,151 ","  139,015 ","  83,521 ",0.14,"  2,354,474 ","  1,896,301 ",  -   ,,,#ProductDemo,2024-04-24 12:02:00,4/24/2024,12,Medium
Post_3,X.com,Organic,Entertainment,Text,Brazil,-51.9253,-14.235,"  14,182 ","  253,052 ","  32,206 ","  9,912 ","  8,140 ",0.06,"  304,915 ",  -   ,  -   ,,,#MemeMonday,2024-12-01 10:02:00,12/1/2024,10,Low
Post_4,Instagram,Organic,Entertainment,Carousel,Australia,133.7751,-25.2744,"  49,137 ","  735,640 ","  121,227 ","  32,781 ","  32,716 ",0.07,"  829,727 ",  -   ,  -   ,,,#JustForFun,2024-07-07 12:59:00,7/7/2024,12,Low
Post_5,TikTok,Organic,Educational,Video,Brazil,-51.9253,-14.235,"  20,832 ","  77,358 ","  13,027 ","  5,357 ","  2,165 ",0.27,"  93,049 ","  72,707 ",  -   ,"  1,944 ",2.09%,#CaseStudy2025,2024-01-10 11:28:00,1/10/2024,11,High
Post_6,LinkedIn,Organic,Customer Story,Image,Australia,133.7751,-25.2744,"  47,292 ","  217,539 ","  41,084 ","  7,031 ","  9,637 ",0.22,"  246,712 ",  -   ,  -   ,,,#SuccessStory,9:18:00 AM,2/5/2024,9,High
Post_7,YouTube,Organic,Customer Story,Video,Japan,138.2529,36.2048,"  44,036 ","  189,936 ","  38,487 ","  9,878 ","  4,725 ",0.23,"  227,739 ","  178,450 ",  -   ,,,#CustomerStory,2024-05-05 12:45:00,5/5/2024,12,High
Post_8,YouTube,Organic,Customer Story,Video,UK,-3.436,55.3781,"  325,640 ","  1,781,229 ","  187,310 ","  134,422 ","  54,062 ",0.18,"  2,195,372 ","  1,781,229 ",  -   ,,,#CustomerStory,2024-03-23 15:47:00,3/23/2024,15,Medium
Post_9,X.com,Organic,Product Promotion,Text,India,78.9629,20.5937,"  38,084 ","  270,886 ","  49,303 ","  10,630 ","  15,923 ",0.14,"  339,969 ",  -   ,  -   ,,,#FeatureHighlight,2025-04-29 16:36:00,4/29/2025,16,Medium
Post_10,TikTok,Organic,Product Promotion,Video,India,78.9629,20.5937,"  76,170 ","  530,247 ","  124,196 ","  31,759 ","  30,157 ",0.14,"  592,656 ","  530,247 ",  -   ,"  8,949 ",1.51%,#ProductDemo,2025-02-16 15:43:00,2/16/2025,15,Medium
Post_11,Instagram,Organic,Event / Webinar,Live Stream,Germany,10.4515,51.1657,"  26,520 ","  149,091 ","  20,977 ","  10,650 ","  5,109 ",0.18,"  172,377 ",  -   ,"  317,078 ",,,#EventRecap,2024-10-28 10:50:00,10/28/2024,10,Medium
Post_12,X.com,Organic,Educational,Text,Australia,133.7751,-25.2744,"  22,233 ","  91,670 ","  11,104 ","  6,426 ","  2,106 ",0.24,"  118,930 ",  -   ,  -   ,,,#SuccessStory,2024-04-23 15:15:00,4/23/2024,15,High
Post_13,YouTube,Sponsored,Educational,Video,Canada,-106.3468,56.1304,"  226,309 ","  1,492,308 ","  150,466 ","  105,615 ","  72,040 ",0.15,"  1,859,119 ","  1,492,308 ",  -   ,,,#CustomerStory,2025-02-07 09:08:00,2/7/2025,9,Medium
